product_id,product_name,category,price,description,image_url,product_url,gender,rating
56,NECK FLOWER WITH CORD,ACCESSORIES_JEWELLERY,990.0,Long cord with flowers made of fabric.,https://static.zara.net/photos///2023/I/0/1/p/0653/272/800/17/w/448/0653272800_1_1_1.jpg?ts=1692186532353,https://www.zara.com/in/en/neck-flower-with-cord-p00653272.html,Women,4.5
57,STRETCH BELT WITH ACETATE EFFECT,ACCESSORIES_JEWELLERY,1990.0,Stretch jute belt. Contrast acetate-effect buckle.,https://static.zara.net/photos///2023/I/0/1/p/1736/219/052/17/w/448/1736219052_1_1_1.jpg?ts=1692187337882,https://www.zara.com/in/en/stretch-belt-with-acetate-effect-p01736219.html,Women,3.7
58,PACK OF LONG NECKLACES,ACCESSORIES_JEWELLERY,1890.0,Two-pack of necklaces:-Necklace with coloured beads.-Fine chain with pendants in the shape of a fish and coloured rhinestones.,https://static.zara.net/photos///2023/I/0/1/p/4548/236/303/12/w/448/4548236303_1_1_1.jpg?ts=1690546393650,https://www.zara.com/in/en/pack-of-long-necklaces-p04548236.html,Women,4.0
59,FAN EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Fan-shaped metal earrings. Push-back and clip closure.,https://static.zara.net/photos///2023/I/0/1/p/1856/281/303/17/w/448/1856281303_1_1_1.jpg?ts=1691583113474,https://www.zara.com/in/en/fan-earrings-p01856281.html,Women,4.2
60,METAL NECKLACE,ACCESSORIES_JEWELLERY,990.0,Rigid metal necklace.,https://static.zara.net/photos///2023/I/0/1/p/1856/224/808/2/w/448/1856224808_1_1_1.jpg?ts=1689929449635,https://www.zara.com/in/en/metal-necklace-p01856224.html,Women,4.5
61,FAUX PEARL BEAD DOUBLE NECKLACE,ACCESSORIES_JEWELLERY,1990.0,Short double necklace with faux pearl beads. Lobster clasp fastening.,https://static.zara.net/photos///2023/I/0/1/p/4548/235/303/2/w/448/4548235303_1_1_1.jpg?ts=1689929452348,https://www.zara.com/in/en/faux-pearl-bead-double-necklace-p04548235.html,Women,3.9
62,PEARL BEAD HOOP EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Hoop earrings with faux pearl bead appliqués. Push-back closure.,https://static.zara.net/photos///2023/I/0/1/p/1856/282/303/2/w/448/1856282303_1_1_1.jpg?ts=1689929451970,https://www.zara.com/in/en/pearl-bead-hoop-earrings-p01856282.html,Women,4.0
63,FLOWER BROOCH,ACCESSORIES_JEWELLERY,990.0,Flower-shaped fabric brooch. Double clip-on and safety pin fastening.,https://static.zara.net/photos///2023/I/0/1/p/0653/271/800/2/w/448/0653271800_1_1_1.jpg?ts=1689929448906,https://www.zara.com/in/en/flower-brooch-p00653271.html,Women,3.6
64,PACK OF RESIN RINGS,ACCESSORIES_JEWELLERY,1590.0,Pack of three resin rings.,https://static.zara.net/photos///2023/I/0/1/p/4548/223/330/17/w/448/4548223330_1_1_1.jpg?ts=1686738753806,https://www.zara.com/in/en/pack-of-resin-rings-p04548223.html,Women,3.6
65,PACK OF RESIN BRACELETS,ACCESSORIES_JEWELLERY,1890.0,Pack of two resin bracelets.,https://static.zara.net/photos///2023/I/0/1/p/4548/216/330/17/w/448/4548216330_1_1_1.jpg?ts=1686738560423,https://www.zara.com/in/en/pack-of-resin-bracelets-p04548216.html,Women,4.5
66,BUCKET HAT WITH WIDE BRIM,ACCESSORIES_JEWELLERY,2290.0,Wide-brimmed bucket hat with a shapewear border.,https://static.zara.net/photos///2023/I/0/1/p/3739/214/705/2/w/448/3739214705_1_1_1.jpg?ts=1688550128360,https://www.zara.com/in/en/bucket-hat-with-wide-brim-p03739214.html,Women,4.7
67,PACK OF RESIN RINGS,ACCESSORIES_JEWELLERY,1590.0,Pack of two resin rings.Size S = 16.5 mm.Size M = 17.5 mm.,https://static.zara.net/photos///2023/I/0/1/p/8435/203/712/2/w/448/8435203712_1_1_1.jpg?ts=1688550128589,https://www.zara.com/in/en/pack-of-resin-rings-p08435203.html,Women,4.1
68,PACK OF FAUX PEARL AND CHAIN EARRINGS AND EAR CUFFS,ACCESSORIES_JEWELLERY,1590.0,Pack of earrings:-Ear cuffs with faux pearls and thin chains. -Earrings with faux pearl appliqués and thin chains. Push-back closure.,https://static.zara.net/photos///2023/I/0/1/p/1856/278/808/17/w/448/1856278808_1_1_1.jpg?ts=1691583067763,https://www.zara.com/in/en/pack-of-faux-pearl-and-chain-earrings-and-ear-cuffs-p01856278.html,Women,4.6
69,HEART EARRINGS,ACCESSORIES_JEWELLERY,990.0,Heart-shaped metal earrings. Push-back closure.,https://static.zara.net/photos///2023/I/0/1/p/1856/318/808/17/w/448/1856318808_1_1_1.jpg?ts=1691583141043,https://www.zara.com/in/en/heart-earrings-p01856318.html,Women,4.3
70,RIGID V-SHAPED CHOKER,ACCESSORIES_JEWELLERY,2290.0,Rigid metal V-shaped choker.,https://static.zara.net/photos///2023/I/0/1/p/4548/275/303/2/w/448/4548275303_1_1_1.jpg?ts=1691579760435,https://www.zara.com/in/en/rigid-v-shaped-choker-p04548275.html,Women,3.8
71,PACK OF BEAD AND RHINESTONE CHAINS,ACCESSORIES_JEWELLERY,1590.0,Pack of two chains:- Thin metal bead chain. Lobster clasp fastening.- Thin metal chain with rhinestone appliqués. Lobster clasp fastening.View more,https://static.zara.net/photos///2023/I/0/1/p/1856/263/303/17/w/448/1856263303_1_1_1.jpg?ts=1691583037173,https://www.zara.com/in/en/pack-of-bead-and-rhinestone-chains-p01856263.html,Women,4.3
72,HEART CORD NECKLACE,ACCESSORIES_JEWELLERY,1590.0,Long cord necklace made of leather with a pendant in the shape of a resin heart.,https://static.zara.net/photos///2023/I/0/1/p/1856/276/615/12/w/448/1856276615_1_1_1.jpg?ts=1689939817006,https://www.zara.com/in/en/heart-cord-necklace-p01856276.html,Women,4.8
73,MACRAMÉ DRESS,ACCESSORIES_JEWELLERY,4990.0,"Sleeveless fabric dress with knot detail, a round neckline and a fringed hem.This garment is not lined.",https://static.zara.net/photos///2023/I/0/1/p/3920/219/251/2/w/448/3920219251_1_1_1.jpg?ts=1689003670922,https://www.zara.com/in/en/macrame-dress-p03920219.html,Women,4.1
74,COLOURED RESIN EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Metal earrings with resin oval stone. Push-back and clip clasps.,https://static.zara.net/photos///2023/I/0/1/p/1856/268/808/2/w/448/1856268808_1_1_1.jpg?ts=1689003669698,https://www.zara.com/in/en/coloured-resin-earrings-p01856268.html,Women,4.8
75,PRINTED COTTON MULTIWAY PAREO,ACCESSORIES_JEWELLERY,2290.0,Multiway pareo made of cotton. Fringed trim.,https://static.zara.net/photos///2023/I/0/1/p/0264/203/402/2/w/448/0264203402_1_1_1.jpg?ts=1689003671397,https://www.zara.com/in/en/printed-cotton-multiway-pareo-p00264203.html,Women,2.9
76,NECKLACE WITH MULTICOLOURED BEADS,ACCESSORIES_JEWELLERY,2590.0,Multi-strand necklace with multicoloured beads. Lobster clasp fastening.,https://static.zara.net/photos///2023/I/0/1/p/4548/230/330/2/w/448/4548230330_1_1_1.jpg?ts=1689003671777,https://www.zara.com/in/en/necklace-with-multicoloured-beads-p04548230.html,Women,4.5
77,SEASHELL DENIM NECKLACE,ACCESSORIES_JEWELLERY,1590.0,Braided denim necklace with a seashell pendant. Lobster clasp fastening.,https://static.zara.net/photos///2023/I/0/1/p/1856/272/400/12/w/448/1856272400_1_1_1.jpg?ts=1689939817724,https://www.zara.com/in/en/seashell-denim-necklace-p01856272.html,Women,4.1
78,PACK OF FISH CHAIN NECKLACES,ACCESSORIES_JEWELLERY,1590.0,Two-pack of necklaces:Thin metal chain. Lobster clasp fastening.-Thin metal chain with a fish pendant. Lobster clasp fastening.,https://static.zara.net/photos///2023/I/0/1/p/4548/234/303/2/w/448/4548234303_1_1_1.jpg?ts=1689003670697,https://www.zara.com/in/en/pack-of-fish-chain-necklaces-p04548234.html,Women,4.0
79,EAR CUFF HOOP EARRING,ACCESSORIES_JEWELLERY,990.0,-Metal ear cuff.-Small open metal hoop. Push-back clasp.,https://static.zara.net/photos///2023/I/0/1/p/1856/294/303/3/w/448/1856294303_1_1_1.jpg?ts=1690993221162,https://www.zara.com/in/en/ear-cuff-hoop-earring-p01856294.html,Women,4.1
80,FLORAL DRAWSTRING BELT,ACCESSORIES_JEWELLERY,1990.0,Belt with metal flowers. Drawstring fastening with a knot or tie.,https://static.zara.net/photos///2023/I/0/1/p/4548/248/800/23/w/448/4548248800_1_1_1.jpg?ts=1690993468935,https://www.zara.com/in/en/floral-drawstring-belt-p04548248.html,Women,3.2
81,FAUX PEARL EAR CUFF HOOP EARRING,ACCESSORIES_JEWELLERY,990.0,-Metal ear cuff with faux pearl appliqué.-Small open metal hoop. Push-back clasp.,https://static.zara.net/photos///2023/I/0/1/p/1856/293/808/2/w/448/1856293808_1_1_1.jpg?ts=1690810874989,https://www.zara.com/in/en/faux-pearl-ear-cuff-hoop-earring-p01856293.html,Women,4.0
82,TWISTED EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Twisted dangle earrings. Push-back fastening.,https://static.zara.net/photos///2023/I/0/1/p/1856/342/303/2/w/448/1856342303_1_1_1.jpg?ts=1692193785852,https://www.zara.com/in/en/twisted-earrings-p01856342.html,Women,4.3
83,ABSTRACT EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Metal earrings. Push-back and clip closure.,https://static.zara.net/photos///2023/I/0/1/p/1856/347/303/2/w/448/1856347303_1_1_1.jpg?ts=1692193785884,https://www.zara.com/in/en/abstract-earrings-p01856347.html,Women,4.8
84,RHINESTONE TOP,ACCESSORIES_JEWELLERY,5990.0,Crop top featuring a straight neckline and wide straps. Metal chain fastening at the back.,https://static.zara.net/photos///2023/I/0/1/p/4548/286/808/17/w/448/4548286808_1_1_1.jpg?ts=1692198906287,https://www.zara.com/in/en/rhinestone-top-p04548286.html,Women,3.9
85,LEATHER BELT WITH TUBULAR PIECE,ACCESSORIES_JEWELLERY,2290.0,Leather belt with a tubular metal piece.,https://static.zara.net/photos///2023/I/0/1/p/1736/224/808/2/w/448/1736224808_1_1_1.jpg?ts=1692193786095,https://www.zara.com/in/en/leather-belt-with-tubular-piece-p01736224.html,Women,3.7
86,OPEN CIRCULAR EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Metal earrings in an open flat circular shape with texture. Push-back closure.,https://static.zara.net/photos///2023/I/0/1/p/1124/204/303/2/w/448/1124204303_1_1_1.jpg?ts=1688546406508,https://www.zara.com/in/en/open-circular-earrings-p01124204.html,Women,3.9
87,IRREGULAR CIRCLE EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Irregular metal circle earrings. Push-back fastening.,https://static.zara.net/photos///2023/I/0/1/p/1124/206/817/2/w/448/1124206817_6_1_1.jpg?ts=1688544358465,https://www.zara.com/in/en/irregular-circle-earrings-p01124206.html,Women,4.5
88,PACK OF METALLIC BRACELETS,ACCESSORIES_JEWELLERY,1590.0,Pack of multiple thin metal bracelets.,https://static.zara.net/photos///2023/I/0/1/p/1856/247/808/17/w/448/1856247808_2_2_1.jpg?ts=1691155520915,https://www.zara.com/in/en/pack-of-metallic-bracelets-p01856247.html,Women,4.2
89,RESIN CASCADING EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Metal dangle earrings with coloured resin stones. Push-back and clip closure.,https://static.zara.net/photos///2023/I/0/1/p/1856/249/303/12/w/448/1856249303_1_1_1.jpg?ts=1688631537513,https://www.zara.com/in/en/resin-cascading-earrings-p01856249.html,Women,3.9
90,MULTICOLOURED RESIN NECKLACE,ACCESSORIES_JEWELLERY,2290.0,Metal necklace with multicoloured resin appliqués. Lobster clasp fastening.,https://static.zara.net/photos///2023/I/0/1/p/1856/236/303/12/w/448/1856236303_1_1_1.jpg?ts=1688631525468,https://www.zara.com/in/en/multicoloured-resin-necklace-p01856236.html,Women,4.3
91,POINTELLE HAT,ACCESSORIES_JEWELLERY,2590.0,Natural fibre hat.,https://static.zara.net/photos///2023/I/0/1/p/0653/209/052/2/w/448/0653209052_1_1_1.jpg?ts=1685015300183,https://www.zara.com/in/en/pointelle-hat-p00653209.html,Women,4.1
92,WIDE ELASTIC BELT,ACCESSORIES_JEWELLERY,2290.0,Wide belt with striped detail. Metal fastening.,https://static.zara.net/photos///2023/I/0/1/p/1736/204/052/2/w/448/1736204052_1_1_1.jpg?ts=1684919833319,https://www.zara.com/in/en/wide-elastic-belt-p01736204.html,Women,4.5
93,PACK OF MULTICOLOURED EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Pack of earrings in different shapes and appliqués. Push-back and screw-back closure.,https://static.zara.net/photos///2023/I/0/1/p/4548/222/330/2/w/448/4548222330_1_1_1.jpg?ts=1689754041307,https://www.zara.com/in/en/pack-of-multicoloured-earrings-p04548222.html,Women,3.8
94,METAL NECKLACE,ACCESSORIES_JEWELLERY,1990.0,Articulated metal necklace. Lobster clasp fastening.,https://static.zara.net/photos///2023/I/0/1/p/1856/273/808/12/w/448/1856273808_2_3_1.jpg?ts=1690366952080,https://www.zara.com/in/en/metal-necklace-p01856273.html,Women,4.0
95,SEASHELL EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Metal earrings in the shape of seashells. Push-back and clip fastening.,https://static.zara.net/photos///2023/I/0/1/p/1856/292/303/2/w/448/1856292303_1_1_1.jpg?ts=1689788790699,https://www.zara.com/in/en/seashell-earrings-p01856292.html,Women,3.9
96,METAL RESIN EARRINGS,ACCESSORIES_JEWELLERY,1590.0,Metal earrings with coloured resin stones. Push-back and clip closure.,https://static.zara.net/photos///2023/I/0/1/p/1856/274/808/2/w/448/1856274808_6_1_1.jpg?ts=1689601550651,https://www.zara.com/in/en/metal-resin-earrings-p01856274.html,Women,3.4
97,BIKINI TOP,ACCESSORIES_JEWELLERY,1990.0,Bikini top with removable cups and a lined metal piece on the chest.,https://static.zara.net/photos///2023/I/0/1/p/0167/226/636/2/w/448/0167226636_1_1_1.jpg?ts=1686034757019,https://www.zara.com/in/en/bikini-top-p00167226.html,Women,4.2
98,CURTAIN STRING BIKINI BOTTOMS,ACCESSORIES_JEWELLERY,1890.0,Curtain string bikini bottoms.,https://static.zara.net/photos///2023/I/0/1/p/0167/227/636/2/w/448/0167227636_1_1_1.jpg?ts=1684935151059,https://www.zara.com/in/en/curtain-string-bikini-bottoms-p00167227.html,Women,4.2
99,PLEATED BIKINI TOP,ACCESSORIES_JEWELLERY,1990.0,"Bikini top with removable cups, a round neck and thin adjustable straps. Fastening at the back.",https://static.zara.net/photos///2023/I/0/1/p/2856/219/330/2/w/448/2856219330_1_1_1.jpg?ts=1686034746896,https://www.zara.com/in/en/pleated-bikini-top-p02856219.html,Women,4.1
100,PLEATED BIKINI BOTTOMS,ACCESSORIES_JEWELLERY,1890.0,Bikini bottoms in pleated fabric.,https://static.zara.net/photos///2023/I/0/1/p/2856/221/330/2/w/448/2856221330_1_1_1.jpg?ts=1684935151526,https://www.zara.com/in/en/pleated-bikini-bottoms-p02856221.html,Women,4.0
